GST_ID_NO,Weight,GST_Cereal,GST_Other,GST_Total
411161102,384,88,29951,30040
411161201,428,22,4113,4135
411161202,428,34,2554,2588
411161203,428,43,1370,1413
411161204,428,11,3314,3324
411161301,856,21,1247,1268
411161302,856,2,347,349
411171101,240,39,4623,4662
411171102,240,41,4548,4589
411171201,785,75,3122,3197
411171202,785,58,1677,1735
411171203,785,14,1100,1114
411171204,785,70,3701,3771
411171301,1305,34,1065,1098
411171302,1305,32,1114,1147
411181101,652,17,4652,4670
411181102,652,20,3580,3600
411181201,2812,106,3533,3639
411181202,2812,46,2810,2856
411181203,2812,36,13723,13759
411181204,2812,23,3556,3579
411181301,652,,1651,0
411181302,652,15,756,771
411191101,161,36,2317,2353
411191102,161,61,3010,3071
411191201,897,21,967,988
411191202,897,38,1034,1073
411191203,897,6,408,413
411191204,897,20,1364,1385
411191301,1909,53,963,1016
411191302,1909,30,1174,1204
411201101,98,,1139,0
411201102,98,29,2540,2569
411201201,385,37,3609,3646
411201202,385,43,2154,2197
411201203,385,64,2511,2575
411201204,385,41,3730,3771
411201301,427,21,1264,1285
411201302,427,22,978,1000
411211101,153,55,6155,6210
411211102,153,58,4378,4436
411211201,176,51,2397,2448
411211202,176,40,2653,2693
411211203,176,30,2698,2728
411211204,176,26,2692,2718
411211301,188,30,2436,2466
411211302,188,22,2259,2280
411221101,529,49,8126,8175
411221102,529,30,5743,5773
411221201,426,38,3329,3367
411221202,426,9,748,756
411221203,426,6,1044,1050
411221204,426,38,4436,4475
411221301,1058,32,1589,1620
411221302,1058,15,673,687
411231101,1920,9,4440,4449
411231102,1920,68,5789,5857
411231201,800,8,1546,1554
411231202,800,72,2148,2221
411231203,800,71,2957,3028
411231204,800,13,2389,2402
411231301,1160,4,764,768
411231302,1160,30,1191,1221
411241101,1988,20,2254,2273
411241102,1988,52,15570,15621
411241201,1425,11,792,802
411241202,1425,28,1451,1479
411241203,1425,56,12308,12364
411241204,1425,53,4319,4372
411241301,1162,9,1041,1049
411241302,1162,22,1851,1873
411251101,563,56,31994,32050
411251102,563,62,4600,4662
411251201,122,28,1902,1930
411251202,122,37,1501,1538
411251203,122,58,5881,5940
411251204,122,90,4440,4530
411251301,64,18,861,879
411251302,64,38,1118,1156
411261101,293,38,3790,3828
411261102,293,60,3083,3143
411261201,812,22,1328,1350
411261202,812,12,1499,1512
411261203,812,12,1629,1642
411261204,812,85,2653,2738
411261301,799,26,1273,1300
411261302,799,62,1542,1604
411271101,104,42,19593,19635
411271102,104,37,2969,3006
411271201,676,18,1338,1356
411271202,676,24,2185,2209
411271203,676,25,3020,3045
411271204,676,28,2897,2925
411271301,130,30,1600,1631
411271302,130,34,2690,2725
411281101,59,99,50194,50293
411281102,59,72,7583,7654
411281201,1357,40,1591,1631
411281202,1357,55,2150,2205
411281203,1357,6,684,690
411281204,1357,8,814,822
411281301,413,44,1711,1754
411281302,413,46,3879,3925
411291101,2592,53,13121,13174
411291102,2592,39,10399,10438
411291103,2592,35,6329,6364
411291104,2592,,9718,0
411291201,892,27,7058,7085
411291202,892,49,8139,8188
411291203,892,43,3914,3957
411291204,892,71,4508,4578
411311101,266,47,3956,4003
411311102,266,41,2532,2573
411311201,746,34,1908,1942
411311202,746,4,793,797
411311203,746,38,1499,1536
411311204,746,48,2127,2175
411311301,1065,37,1392,1429
411311302,1065,55,1635,1691
411321101,574,33,3036,3069
411321102,574,37,12355,12392
411321201,292,23,1973,1995
411321202,292,6,543,549
411321203,292,36,2714,2750
411321204,292,44,5397,5441
411321301,181,10,328,338
411321302,181,11,357,368
411341101,943,48,8507,8555
411341102,943,40,6269,6309
411341201,782,11,2188,2200
411341202,782,49,4398,4446
411341203,782,30,5284,5314
411341204,782,42,7080,7122
411341301,1035,43,1423,1466
411341302,1035,75,1723,1797
411351101,77,6,2355,2362
411351102,77,66,19295,19362
411351201,280,10,995,1005
411351202,280,14,2167,2180
411351203,280,7,1104,1111
411351204,280,14,3064,3078
411351301,315,30,1191,1221
411351302,315,22,1966,1988
411361101,2800,27,6042,6069
411361102,2800,17,5017,5034
411361201,2080,14,3636,3650
411361202,2080,28,2113,2141
411361203,2080,12,886,898
411361204,2080,56,3434,3490
411361301,560,47,1042,1088
411361302,560,65,2990,3055
411371101,235,56,4156,4212
411371102,235,46,9135,9181
411371201,200,30,2398,2428
411371202,200,31,3259,3290
411371203,200,35,2161,2196
411371204,200,36,5180,5216
411371301,82,46,2006,2052
411371302,82,40,1452,1492
411391101,1125,8,2496,2504
411391102,1125,35,3993,4027
411391201,1125,37,2165,2202
411391202,1125,53,9490,9543
411391203,1125,85,5042,5127
411391204,1125,53,2687,2740
411391301,1312,45,1209,1253
411391302,1312,46,1355,1401
