GTI2017,citax2017,GTI2018,citax2018
94827771,31352906,64533456,21336696
118517,36622,14425,4457
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
10449,3229,0,0
0,0,0,0
36590319,12097857,21561711,7128948
174627848,60435206,203704849,70441576
2178855,673266,174036,53777
462420,142888,7155774,2211134
1347768,409968,0,0
0,0,0,0
478045,147716,0,0
0,0,822776,254238
0,0,0,0
0,0,0,0
0,0,0,0
189109,58435,43579,13466
1350146,417195,1213821,375071
0,0,17931838,5928804
0,0,0,0
3112823,961862,2785940,860855
1504671,464943,837084,258659
1628,503,793,245
30953212,10234061,5662285,1749646
0,0,1075411,332302
82516,25497,0,0
0,0,0,0
0,0,0,0
58861,18188,199314,61588
0,0,0,0
45423,14036,0,0
0,0,288271,89076
0,0,0,0
0,0,0,0
4710042,1455403,6927470,2140588
25437967,8410555,17328652,5729372
0,0,0,0
222807,68847,353291,109167
0,0,0,0
0,0,0,0
27774,8582,12716,3929
0,0,0,0
0,0,0,0
100799,31147,0,0
0,0,0,0
910750,281422,167792,51848
0,0,0,0
1017,314,1042,322
170935,52819,89204,27564
0,0,0,0
0,0,0,0
0,0,0,0
2719184,840228,2496069,771285
350070,108171,0,0
1683222,520116,512754,158441
23932357,7095522,14182335,4689105
1701922,525894,408871,126341
0,0,0,0
0,0,0,0
4257955,1315708,229353,70870
494534,152811,111894,34575
5149349,1591149,31619,9770
16229,5015,14555,4497
0,0,0,0
0,0,0,0
0,0,0,0
0,0,4420954,2916414
27736,8570,16906,5224
0,0,155939,48185
0,0,0,0
3016009,931947,1441241,445343
22297382,7372183,6981245,2154779
631843,195239,267373,82578
15926,4921,10799,3337
0,0,0,0
21135380,6987991,13463518,4451443
0,0,0,0
10127185,3348351,12556319,4151496
0,0,0,0
0,0,0,0
2348024,725539,12307562,4069249
417484892,74947923,276631956,88959699
0,0,0,0
0,0,0,0
0,0,0,0
7478491,2310854,2325042,718438
121717,25942,374766,638891
6346876,1961185,2049840,633401
308192,95231,0,0
70688,21843,0,0
0,0,533826,164952
0,0,24357171,8053211
0,0,0,0
7998167249,2768005722,2846168682,984993002
4286524,1324536,2242865,693045
10233502,2887195,2517736,777980
598480,184930,349645,108040
215275,66520,0,0
2006764,620090,2114942,653517
4607,1423,4978,1538
0,0,0,0
8536712,2637844,0,0
0,0,0,0
2132173,658842,2348024,725539
793650,245238,690942,213501
0,0,0,0
0,0,204847,63298
879167,245386,0,0
564684,174487,1687498,521437
113672,35125,0,0
0,39442,0,354048
178733,55228,655405,202520
0,0,0,0
468230,144683,0,0
21647,6689,2560266,791122
48415643,15190431,23293211,7701434
32489724,10742077,0,0
36622,11316,33465,10341
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
315722,97558,502642,155316
197801,61120,20654,6382
0,0,0,0
5802935,1793107,1371159,423688
913712,282337,29187445,6543765
0,0,0,0
0,0,18172364,4018643
132958,41084,107506,33219
132067,40809,173972,53757
1146248,354191,1132945,350080
0,0,0,0
526843,162794,2832801,875336
0,0,0,0
4953283,1530564,2637420,814963
398681154,0,341216697,51472428
3801906,1174789,3791382,1171537
401908,124189,340126,105099
0,0,0,0
0,0,0,0
587139,181426,6562,2028
0,0,0,0
0,0,36704859,12135728
0,0,0,0
290799,89857,0,0
0,0,0,0
265971,82185,122752,37931
0,0,0,0
0,0,105210231,36411157
0,0,0,0
0,0,0,0
793250,245114,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1516066,468464,0,0
334652,103408,216699,66960
1624296,501908,774525,239328
5745852,1717366,3400251,1050677
0,0,0,0
0,0,0,0
6228,1924,1547,478
265629,82079,153973,47578
270028,83439,126139,38977
4849383,1114823,10771769,2694851
7641281,2261866,5237331,1590036
1319387,407691,2451592,757542
1734586,535987,331647,102479
295418,91284,105667,32651
0,0,0,0
0,0,0,0
3951738,1221087,2571046,794453
24045519,7950170,15830889,5234167
759082,234556,543731,168013
331383,102397,225601,69711
0,0,0,0
278276543,96305946,292040722,100595863
8844952,2733090,3203957,990023
811971,250899,120794,37325
0,0,73152,22604
107928,33350,50821,15704
257583,79593,0,0
5387061,1664602,2616301,808437
1436132,443765,2021096,624519
0,0,0,0
1452372,448783,1279309,395306
1862237,575431,1073105,331590
1657455,512154,1434396,443228
0,0,24571015,8123915
0,0,0,0
351383,108577,12380,3825
56121578,18555477,21105646,6978160
991382,306337,0,0
25460503,5653376,483366,141579
0,0,0,0
103468,31972,17105,5285
0,0,0,0
9017271,2786337,252847,78130
1510905,466870,0,0
