GST_ID_NO,Weight,Weighted GST_Cereal,Weighted Total Consumption,Weighted GST
443651101,2956,5846281,1471899255,106547320
443651102,2956,3311501,1825560444,166323647
443651201,986,804560,319622277,27898135
443651202,986,1716301,467032791,35668348
443651203,986,187916,207558012,16143003
443651204,986,896430,248684238,21819064
443651301,328,322937,59800927,4193482
443651302,328,112286,24441521,1800919
443661101,7318,4444924,1814453509,193893410
443661102,7318,9768496,4014882516,344062624
443661201,2320,622743,221409817,20659167
443661202,2320,2215655,450704453,39689352
443661203,2320,3284151,748744314,69521281
443661204,2320,1537192,572956171,51091443
443661301,1071,769983,119479640,9557959
443661302,1071,1438612,245647895,17154629
443671101,534,557129,319062523,33798899
443671102,534,739572,998365786,121524210
443671201,2295,1299946,441951612,28472100
443671202,2295,1543079,499452565,30635482
443671203,2295,3371432,926275955,53965554
443671204,2295,1517144,562603423,44876035
443671301,2295,1546320,624819383,41299201
443671302,2295,453847,78107682,7410429
443681101,718,635073,503685854,50087208
443681102,718,582319,323715467,30035300
443681201,3840,2825720,857238699,79676449
443681202,3840,4458238,1097292125,92437942
443681203,3840,6747017,1864845776,162259128
443681204,3840,4111125,1173814955,92308109
443681301,829,286790,59622263,5764220
443681302,829,162709,33946245,2615826
443691101,3172,7635633,2606165877,254547692
443691102,3172,1106808,617299634,49620406
443691201,2644,5530307,1018892883,86958066
443691202,2644,7498215,1544200352,125933405
443691203,2644,1710250,936344464,82210298
443691204,2644,5399611,3438479446,362378066
443691301,141,203936,31877369,1951795
443691302,141,111328,20965585,1147775
443701101,1872,2001592,870505318,70699112
443701102,1872,0,311415372,31515046
443701201,3600,4317019,1253988827,83852107
443701202,3600,3666161,898480991,81640954
443701203,3600,4388207,1144002070,75377633
443701204,3600,8501833,2257414517,163006886
443701301,1368,1493617,304981042,25080050
443701302,1368,888828,175402897,12606477
443731101,152,151930,51882039,4194636
443731102,152,368699,124882661,10091380
443731201,1970,2014041,478785421,33256240
443731202,1970,166909,245828814,23592297
443731203,1970,5852960,834007275,57026017
443731204,1970,706584,163946491,18339059
443731301,1288,1265944,181563327,14824451
443731302,1288,572949,87876517,7798630
443781101,1211,1550015,515230831,48061830
443781102,1211,2453334,1018514202,89949319
443781201,2601,4720147,845737475,68029181
443781202,2601,4782592,925731867,67551269
443781203,2601,6453928,1849424501,136646936
443781204,2601,5539285,908183878,62162705
443781301,2066,2454441,378287144,28960169
443781302,2066,4214285,599119471,35520908
443801101,1233,2622780,1589573552,156069864
443801102,1233,665274,265593431,22061864
443801201,3254,5868794,1748717424,137205741
443801202,3254,8056379,3981941986,362512500
443801203,3254,2513884,791996077,65259698
443801204,3254,3910998,1452222540,151903767
443801301,685,563102,109914274,9549475
443801302,685,308642,64362941,5768166
443811101,725,547855,684070845,50444014
443811102,725,936986,401310176,28977066
443811201,2374,2257039,449653523,35497060
443811202,2374,181100,551657220,51129048
443811203,2374,972573,1167954341,80558393
443811204,2374,3554920,676794264,55950628
443811301,1378,525326,62138390,4354144
443811302,1378,1982620,458706536,35463351
443821101,12920,1277422,6438755415,549214491
443821201,3655,9018911,2278252717,156673058
443821202,3655,4155823,1346273289,102165026
443821301,85,300146,33683709,1778860
443822101,47940,5417037,20998732619,1803832137
443822201,2890,4000347,992190716,65843335
443822202,2890,0,244693602,14807903
443822301,170,516732,84560734,6106588
443831101,1568,1405902,745340648,69935667
443831102,1568,2559406,1018887195,77495235
443831201,2351,3507006,991123897,68161155
443831202,2351,2152026,594370729,50967553
443831203,2351,7246484,1659390504,126099546
443831204,2351,2829516,1143318151,98007846
443831301,712,838308,136311324,11006710
443831302,712,1025493,172141661,12106290
443841101,418,456338,216939126,19250867
443841201,2999,3062843,684136111,56496141
443841202,2999,3261949,1102978789,84131971
443841301,11858,12812337,2375138529,170006873
443842101,837,1775698,785568594,73805840
443842201,4185,12667515,3020284686,260583220
443842202,4185,10746403,2250470537,214974135
443842301,15345,15995472,2899899327,290938708
443851101,1476,4857537,1565802285,125986023
443851102,1476,2626822,1555503143,148224743
443851103,1476,1530228,965881766,101962818
443851104,1476,1817928,1039391667,92078869
443851201,2196,4035371,1175854433,100171472
443851202,2196,2856707,757460968,58487635
443851203,2196,3722094,1045645236,79926969
443851204,2196,3535990,1054667953,80806910
443861101,379,349868,106861355,9571662
443861102,379,825453,227437698,16829443
443861201,1666,962725,221715757,15061244
443861202,1666,3566085,443894251,27254808
443861203,1666,2688099,446382172,33263042
443861204,1666,1617096,240351973,17022664
443861301,2272,8400041,1106910502,63473931
443861302,2272,4516186,463767588,30927999
443871101,1097,937321,777492984,55932713
443871102,1097,1245630,481494682,39993158
443871201,4388,11495685,2489443036,196622671
443871202,4388,4393768,1392003623,106527464
443871203,4388,1121681,415680139,28042663
443871204,4388,6568963,1167030211,77800955
443871301,1170,3222510,443345284,26887260
443871302,1170,1619518,266230055,18265178
443881101,2201,1967804,779160941,53605853
443881102,2201,1510826,971725183,69384724
